Timestamp,Gender ,Age ,1.     Marital Status:,  Are your parents together or separated?  ,1.     Have you experienced domestic abuse or family violence?,1.     Has a parent or close family relative or love ones  died in the last 12 months?,1.     Have you recently ended a romantic relationship?,8.     What is your highest level of education?,8.     What is your current employment status?,8.     Please indicate the highest level of schooling completed by your mother:,8.     Please indicate the highest level of schooling completed by your Father:,8.     How often do you exercise or walk ?,"8.     If given a choice between a healthy meal and junk food, which would you pick?",8.     How many times a week do you eat home-cooked meals instead of fast food?,"8.     Do you prefer sugary drinks (e.g., soda, energy drinks) over water or fresh juices?",8.     Has anyone in your family been diagnosed with psychological condition   ?,  How happy are you with your living situation?  ,8.     What field did you choose for your studies?,8.     Are you satisfied with your choice to pursue this degree program?,20.Do you consider your course load stressful?,21.Do you feel stressed about your current financial situation? Why?,  How often do you feel worried or nervous?  , Do you find yourself worrying excessively about different things, How difficult is it for you to control your worries?,"Do you experience physical symptoms like sweating, shaking, or a racing heartbeat when anxious?",  Do you feel uneasy or find it hard to relax?  ,How often do you find it hard to concentrate or focus ?,Do you avoid social situations because of fear or nervousness?,  Have you ever felt sudden fear or panic (panic attrack )?  ,"  Does your anxiety make daily life, work, or relationships harder?  "," How often do you feel like something bad is going to happen, even if there’s no clear reason?",How often do you feel sad or down?,Do you feel hopeless about the future?,  How often do you feel bad about yourself or guilty?  ,Do you enjoy the things you used to love doing?,Do you have trouble sleeping?,  Do you feel like crying more than before?  ,Do you feel restless or slowed down?,Have you had thoughts about harming yourself?,How is your energy level?,How is your appetite?,  How often have you felt upset because something unexpected happened? ,How often have you felt like you couldn’t control the important parts of your life? ,How often have you felt nervous and stressed? ,How often have you felt confident in solving your personal problems? ,How often have you felt like things were going well for you? ,  How often do you feel like you have too much to do and can't handle it?  ,How often have you been able to stay calm and control your anger when something irritated you? ,How often have you felt like you were in control of your life and responsibilities? ,How often have you felt angry because things happened that were out of your control? ,How often have you felt like your problems were too big to handle?
3/15/2025 12:16:28,Male,26-35,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In Master,Student + Employed,Master’s,Master’s,1-2 times a week,Depends on mood,Almost every day,Sometimes,No,High,Supply Chain ,Yes,Yes,"Not Really, but inflation really hits hard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 12:16:33,Female,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student,Master’s,Bachelor’s,I DONT,Mostly junk food,Almost every day,Often,No,High,CS,Yes,Yes,NO.BUT I WANT TO BE INDEPENDENT SO THAT I DONT HAVE TO ASK FOR MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 12:24:47,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,Yes,No,In bachelors,Student,Master’s,Master’s,never,Mostly healthy meal,Almost every day,Always,No,High,Software Engineering,Yes,Yes,Because 1.5 years of grinding and still cant earn anything on my own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 12:33:03,Female,"Below 18, 18-25","Single, never married",Nuclear (Both parents live together with their children),Yes,No,No,In bachelors,Student,School,Bachelor’s,1-2 times a week,Mostly healthy meal,3-5 times,Never,Yes,High,Computer Science,Yes,Yes,"Yes, I cannot afford to pay high level fees of my university",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 12:39:27,Female,18-25,"Single, never married",Nuclear (Both parents live together with their children),Yes,Yes,No,In bachelors,Student,Bachelor’s,Bachelor’s,1-2 times a week,Mostly junk food,3-5 times,Often,Yes,High,Bscs,Yes,No,Obviously yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 12:49:53,Female,18-25,"Single, never married",Nuclear (Both parents live together with their children),Yes,Yes,No,In bachelors,Student + Employed,College,Bachelor’s,1-2 times a week,Mostly healthy meal,Almost every day,Sometimes,No,High,Cs,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 12:51:33,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),Yes,No,No,In bachelors,Student + Employed,College,Bachelor’s,3-5 times a week,Mostly junk food,3-5 times,Often,Yes,Low,Computer science ,No,Yes,"Yes, because sometimes i start comparing ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 12:55:23,Female,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student,School,Bachelor’s,1-2 times a week,Mostly healthy meal,1-2 times,Sometimes,Yes,Low,Cyber security ,Yes,Yes,Its hard to manage studies and side job together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 12:57:35,Female,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student + Employed,College,Bachelor’s,1-2 times a week,Mostly healthy meal,3-5 times,Sometimes,Yes,High,Computer science ,Yes,No,Nope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 13:08:51,Female,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student,College,College,1-2 times a week,Mostly junk food,Almost every day,Often,No,Very high,Software engineering,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
